aligned_key,status,step4_config_id,deepseek_config_id,metric_deltas
"[""gb300"",""decode_smoke"",4096,1024,0,1000,""agg"",""vllm"",""SOL"",0]",paired,agg_patternA|tp=1|pp=1|dp=4|moe_tp=1|moe_ep=4|cp=1|bs=478|ctx_tokens=4096,agg_patternA|tp=1|pp=1|dp=4|moe_tp=1|moe_ep=4|cp=1|bs=727|ctx_tokens=4096,"{""ranking_metric_value"":{""absolute_delta"":389.0787794687558,""deepseek_value"":5686.8983915650015,""polarity"":""higher_is_better"",""relative_delta"":0.0684166926642914,""status"":""computed"",""step4_value"":6075.977171033757},""request_latency"":{""absolute_delta"":-50298.07099044505,""deepseek_value"":130777.96520913964,""polarity"":""lower_is_better"",""relative_delta"":-0.3846066186303523,""status"":""computed"",""step4_value"":80479.8942186946},""tpot"":{""absolute_delta"":-49.13443659867623,""deepseek_value"":127.42521278683706,""polarity"":""lower_is_better"",""relative_delta"":-0.38559430684154045,""status"":""computed"",""step4_value"":78.29077618816083},""ttft"":{""absolute_delta"":-33.54234999925444,""deepseek_value"":421.9725282053259,""polarity"":""lower_is_better"",""relative_delta"":-0.07948941638905271,""status"":""computed"",""step4_value"":388.43017820607145}}"
"[""gb300"",""decode_smoke"",4096,1024,0,1000,""disagg"",""vllm"",""SOL"",0]",paired,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=1|p_workers=10|d_tp=1|d_pp=1|d_dp=8|d_moe_tp=1|d_moe_ep=8|d_cp=1|d_bs=752|d_workers=3,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=2|p_workers=3|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1235|d_workers=1,"{""ranking_metric_value"":{""absolute_delta"":147.57888000000003,""deepseek_value"":5059.2384,""polarity"":""higher_is_better"",""relative_delta"":0.02917017707645483,""status"":""computed"",""step4_value"":5206.81728},""request_latency"":{""absolute_delta"":-5381.588000000003,""deepseek_value"":56501.415,""polarity"":""lower_is_better"",""relative_delta"":-0.09524695974428257,""status"":""computed"",""step4_value"":51119.827},""tpot"":{""absolute_delta"":-5.088000000000001,""deepseek_value"":54.964,""polarity"":""lower_is_better"",""relative_delta"":-0.0925696819736555,""status"":""computed"",""step4_value"":49.876},""ttft"":{""absolute_delta"":-176.564,""deepseek_value"":273.243,""polarity"":""lower_is_better"",""relative_delta"":-0.6461794080726679,""status"":""computed"",""step4_value"":96.679}}"
"[""gb300"",""decode_smoke"",4096,1024,0,200,""agg"",""vllm"",""SOL"",0]",paired,agg_patternA|tp=8|pp=1|dp=1|moe_tp=1|moe_ep=8|cp=1|bs=57|ctx_tokens=4096,agg_patternA|tp=8|pp=1|dp=1|moe_tp=1|moe_ep=8|cp=1|bs=158|ctx_tokens=4096,"{""ranking_metric_value"":{""absolute_delta"":-408.0039632597026,""deepseek_value"":940.3004636798224,""polarity"":""higher_is_better"",""relative_delta"":-0.43390807408835885,""status"":""computed"",""step4_value"":532.2965004201199},""request_latency"":{""absolute_delta"":-7793.753652007792,""deepseek_value"":21487.0148217641,""polarity"":""lower_is_better"",""relative_delta"":-0.3627192384171269,""status"":""computed"",""step4_value"":13693.261169756308},""tpot"":{""absolute_delta"":-7.618385815672005,""deepseek_value"":20.80852320695589,""polarity"":""lower_is_better"",""relative_delta"":-0.36611852460175187,""status"":""computed"",""step4_value"":13.190137391283885},""ttft"":{""absolute_delta"":-0.1449625753303394,""deepseek_value"":199.89558104822441,""polarity"":""lower_is_better"",""relative_delta"":-0.000725191495330592,""status"":""computed"",""step4_value"":199.75061847289408}}"
"[""gb300"",""decode_smoke"",4096,1024,0,200,""disagg"",""vllm"",""SOL"",0]",paired,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=1|p_workers=10|d_tp=1|d_pp=1|d_dp=8|d_moe_tp=1|d_moe_ep=8|d_cp=1|d_bs=752|d_workers=3,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=1|p_workers=6|d_tp=1|d_pp=1|d_dp=8|d_moe_tp=1|d_moe_ep=8|d_cp=1|d_bs=1021|d_workers=1,"{""ranking_metric_value"":{""absolute_delta"":152.59007999999994,""deepseek_value"":5054.2272,""polarity"":""higher_is_better"",""relative_delta"":0.030190585813000242,""status"":""computed"",""step4_value"":5206.81728},""request_latency"":{""absolute_delta"":4444.752999999997,""deepseek_value"":46675.074,""polarity"":""lower_is_better"",""relative_delta"":0.09522755121930812,""status"":""computed"",""step4_value"":51119.827},""tpot"":{""absolute_delta"":4.384,""deepseek_value"":45.492,""polarity"":""lower_is_better"",""relative_delta"":0.09636859227996132,""status"":""computed"",""step4_value"":49.876},""ttft"":{""absolute_delta"":-40.07900000000001,""deepseek_value"":136.758,""polarity"":""lower_is_better"",""relative_delta"":-0.29306512233288,""status"":""computed"",""step4_value"":96.679}}"
"[""gb300"",""decode_smoke"",4096,1024,0,2000,""agg"",""vllm"",""SOL"",0]",paired,agg_patternA|tp=1|pp=1|dp=4|moe_tp=1|moe_ep=4|cp=1|bs=478|ctx_tokens=4096,agg_patternA|tp=1|pp=1|dp=4|moe_tp=1|moe_ep=4|cp=1|bs=727|ctx_tokens=4096,"{""ranking_metric_value"":{""absolute_delta"":389.0787794687558,""deepseek_value"":5686.8983915650015,""polarity"":""higher_is_better"",""relative_delta"":0.0684166926642914,""status"":""computed"",""step4_value"":6075.977171033757},""request_latency"":{""absolute_delta"":-50298.07099044505,""deepseek_value"":130777.96520913964,""polarity"":""lower_is_better"",""relative_delta"":-0.3846066186303523,""status"":""computed"",""step4_value"":80479.8942186946},""tpot"":{""absolute_delta"":-49.13443659867623,""deepseek_value"":127.42521278683706,""polarity"":""lower_is_better"",""relative_delta"":-0.38559430684154045,""status"":""computed"",""step4_value"":78.29077618816083},""ttft"":{""absolute_delta"":-33.54234999925444,""deepseek_value"":421.9725282053259,""polarity"":""lower_is_better"",""relative_delta"":-0.07948941638905271,""status"":""computed"",""step4_value"":388.43017820607145}}"
"[""gb300"",""decode_smoke"",4096,1024,0,2000,""disagg"",""vllm"",""SOL"",0]",paired,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=1|p_workers=10|d_tp=1|d_pp=1|d_dp=8|d_moe_tp=1|d_moe_ep=8|d_cp=1|d_bs=752|d_workers=3,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=2|p_workers=3|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1235|d_workers=1,"{""ranking_metric_value"":{""absolute_delta"":147.57888000000003,""deepseek_value"":5059.2384,""polarity"":""higher_is_better"",""relative_delta"":0.02917017707645483,""status"":""computed"",""step4_value"":5206.81728},""request_latency"":{""absolute_delta"":-5381.588000000003,""deepseek_value"":56501.415,""polarity"":""lower_is_better"",""relative_delta"":-0.09524695974428257,""status"":""computed"",""step4_value"":51119.827},""tpot"":{""absolute_delta"":-5.088000000000001,""deepseek_value"":54.964,""polarity"":""lower_is_better"",""relative_delta"":-0.0925696819736555,""status"":""computed"",""step4_value"":49.876},""ttft"":{""absolute_delta"":-176.564,""deepseek_value"":273.243,""polarity"":""lower_is_better"",""relative_delta"":-0.6461794080726679,""status"":""computed"",""step4_value"":96.679}}"
"[""gb300"",""decode_smoke"",4096,1024,0,500,""agg"",""vllm"",""SOL"",0]",paired,agg_patternA|tp=1|pp=1|dp=4|moe_tp=1|moe_ep=4|cp=1|bs=478|ctx_tokens=4096,agg_patternA|tp=1|pp=1|dp=4|moe_tp=1|moe_ep=4|cp=1|bs=727|ctx_tokens=4096,"{""ranking_metric_value"":{""absolute_delta"":389.0787794687558,""deepseek_value"":5686.8983915650015,""polarity"":""higher_is_better"",""relative_delta"":0.0684166926642914,""status"":""computed"",""step4_value"":6075.977171033757},""request_latency"":{""absolute_delta"":-50298.07099044505,""deepseek_value"":130777.96520913964,""polarity"":""lower_is_better"",""relative_delta"":-0.3846066186303523,""status"":""computed"",""step4_value"":80479.8942186946},""tpot"":{""absolute_delta"":-49.13443659867623,""deepseek_value"":127.42521278683706,""polarity"":""lower_is_better"",""relative_delta"":-0.38559430684154045,""status"":""computed"",""step4_value"":78.29077618816083},""ttft"":{""absolute_delta"":-33.54234999925444,""deepseek_value"":421.9725282053259,""polarity"":""lower_is_better"",""relative_delta"":-0.07948941638905271,""status"":""computed"",""step4_value"":388.43017820607145}}"
"[""gb300"",""decode_smoke"",4096,1024,0,500,""disagg"",""vllm"",""SOL"",0]",paired,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=1|p_workers=10|d_tp=1|d_pp=1|d_dp=8|d_moe_tp=1|d_moe_ep=8|d_cp=1|d_bs=752|d_workers=3,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=2|p_workers=3|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1235|d_workers=1,"{""ranking_metric_value"":{""absolute_delta"":147.57888000000003,""deepseek_value"":5059.2384,""polarity"":""higher_is_better"",""relative_delta"":0.02917017707645483,""status"":""computed"",""step4_value"":5206.81728},""request_latency"":{""absolute_delta"":-5381.588000000003,""deepseek_value"":56501.415,""polarity"":""lower_is_better"",""relative_delta"":-0.09524695974428257,""status"":""computed"",""step4_value"":51119.827},""tpot"":{""absolute_delta"":-5.088000000000001,""deepseek_value"":54.964,""polarity"":""lower_is_better"",""relative_delta"":-0.0925696819736555,""status"":""computed"",""step4_value"":49.876},""ttft"":{""absolute_delta"":-176.564,""deepseek_value"":273.243,""polarity"":""lower_is_better"",""relative_delta"":-0.6461794080726679,""status"":""computed"",""step4_value"":96.679}}"
"[""gb300"",""decode_smoke"",4096,1024,0,5000,""agg"",""vllm"",""SOL"",0]",paired,agg_patternA|tp=1|pp=1|dp=4|moe_tp=1|moe_ep=4|cp=1|bs=478|ctx_tokens=4096,agg_patternA|tp=1|pp=1|dp=4|moe_tp=1|moe_ep=4|cp=1|bs=727|ctx_tokens=4096,"{""ranking_metric_value"":{""absolute_delta"":389.0787794687558,""deepseek_value"":5686.8983915650015,""polarity"":""higher_is_better"",""relative_delta"":0.0684166926642914,""status"":""computed"",""step4_value"":6075.977171033757},""request_latency"":{""absolute_delta"":-50298.07099044505,""deepseek_value"":130777.96520913964,""polarity"":""lower_is_better"",""relative_delta"":-0.3846066186303523,""status"":""computed"",""step4_value"":80479.8942186946},""tpot"":{""absolute_delta"":-49.13443659867623,""deepseek_value"":127.42521278683706,""polarity"":""lower_is_better"",""relative_delta"":-0.38559430684154045,""status"":""computed"",""step4_value"":78.29077618816083},""ttft"":{""absolute_delta"":-33.54234999925444,""deepseek_value"":421.9725282053259,""polarity"":""lower_is_better"",""relative_delta"":-0.07948941638905271,""status"":""computed"",""step4_value"":388.43017820607145}}"
"[""gb300"",""decode_smoke"",4096,1024,0,5000,""disagg"",""vllm"",""SOL"",0]",paired,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=1|p_workers=10|d_tp=1|d_pp=1|d_dp=8|d_moe_tp=1|d_moe_ep=8|d_cp=1|d_bs=752|d_workers=3,disagg_AA|p_tp=1|p_pp=1|p_dp=4|p_moe_tp=1|p_moe_ep=4|p_cp=1|p_bs=2|p_workers=3|d_tp=1|d_pp=1|d_dp=4|d_moe_tp=1|d_moe_ep=4|d_cp=1|d_bs=1235|d_workers=1,"{""ranking_metric_value"":{""absolute_delta"":147.57888000000003,""deepseek_value"":5059.2384,""polarity"":""higher_is_better"",""relative_delta"":0.02917017707645483,""status"":""computed"",""step4_value"":5206.81728},""request_latency"":{""absolute_delta"":-5381.588000000003,""deepseek_value"":56501.415,""polarity"":""lower_is_better"",""relative_delta"":-0.09524695974428257,""status"":""computed"",""step4_value"":51119.827},""tpot"":{""absolute_delta"":-5.088000000000001,""deepseek_value"":54.964,""polarity"":""lower_is_better"",""relative_delta"":-0.0925696819736555,""status"":""computed"",""step4_value"":49.876},""ttft"":{""absolute_delta"":-176.564,""deepseek_value"":273.243,""polarity"":""lower_is_better"",""relative_delta"":-0.6461794080726679,""status"":""computed"",""step4_value"":96.679}}"
